# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,30,06,39,04,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
# ,HCR,1602.23,40.038,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:00:15.330777884  9864.3   88.39  295.87  -55.578    0.142  179.174  -49.080    0.142  179.174  -55.578  -49.080  -68.783  -69.689     22.0666      20.369
2020/11/19_21:00:16.344537973  9864.3   88.39  295.88  -55.575    0.144  179.797  -49.088    0.144  179.797  -55.575  -49.088  -68.767  -69.750     22.2493     20.2787
2020/11/19_21:00:17.358298063  9864.3   88.39  295.89  -55.578    0.143  179.786  -49.086    0.143  179.786  -55.578  -49.086  -68.705  -69.460     22.4621      20.472
2020/11/19_21:00:18.372057915  9864.3   88.39  295.89  -55.583    0.143  179.597  -49.086    0.143  179.597  -55.583  -49.086  -68.750  -69.564     22.4681     20.6662
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:00:19.385818005  9864.3   88.39  295.89  -55.590    0.144  179.614  -49.082    0.144  179.614  -55.590  -49.082  -68.675  -69.379     22.2965     20.6629
2020/11/19_21:00:20.399578094  9864.3   88.39  295.88  -55.587    0.142  179.453  -49.089    0.142  179.453  -55.587  -49.089  -68.731  -69.839     22.4406     20.7166
2020/11/19_21:00:21.413337946  9864.3   88.39  295.88  -55.584    0.143  179.586  -49.084    0.143  179.586  -55.584  -49.084  -68.789  -69.898     22.3982     20.8784
2020/11/19_21:00:22.427098036  9864.3   88.39  295.89  -55.584    0.143  179.984  -49.090    0.143  179.984  -55.584  -49.090  -68.764  -69.423     22.3711     20.8161
2020/11/19_21:00:23.440857887  9864.3   88.39  295.91  -55.585    0.142  179.804  -49.085    0.142  179.804  -55.585  -49.085  -68.689  -69.624     22.4631     20.7455
2020/11/19_21:00:24.454617977  9864.3   88.39  295.90  -55.588    0.143 -179.989  -49.083    0.143 -179.989  -55.588  -49.083  -68.790  -69.465     22.4011     20.3759
2020/11/19_21:00:25.468378067  9864.3   88.39  295.90  -55.580    0.142  179.807  -49.088    0.142  179.807  -55.580  -49.088  -68.752  -69.421     22.2607     20.2115
2020/11/19_21:00:26.482137918  9864.3   88.39  295.90  -55.582    0.144  179.625  -49.091    0.144  179.625  -55.582  -49.091  -68.716  -69.648     22.0586     20.1388
2020/11/19_21:00:27.495898008  9864.3   88.39  295.90  -55.577    0.143  179.538  -49.087    0.143  179.538  -55.577  -49.087  -68.676  -69.699     21.9146     20.1964
2020/11/19_21:00:28.509658098  9864.3   88.39  295.87  -55.580    0.143  179.304  -49.086    0.143  179.304  -55.580  -49.086  -68.770  -69.514     22.1452     20.3331
2020/11/19_21:00:29.523417950  9864.3   88.39  295.85  -55.579    0.145  179.873  -49.089    0.145  179.873  -55.579  -49.089  -68.780  -69.512     22.5593     20.6204
2020/11/19_21:00:30.537178040  9864.3   88.39  295.86  -55.586    0.143 -179.756  -49.082    0.143 -179.756  -55.586  -49.082  -68.623  -69.645     22.7459     20.7132
2020/11/19_21:00:31.550937891  9864.3   88.39  295.86  -55.581    0.144 -179.791  -49.088    0.144 -179.791  -55.581  -49.088  -68.695  -69.459     22.6337     20.3576
2020/11/19_21:00:32.564697981  9864.3   88.39  295.86  -55.577    0.143  179.733  -49.092    0.143  179.733  -55.577  -49.092  -68.743  -69.519     22.3283     20.1259
2020/11/19_21:00:33.578458071  9864.3   88.39  295.87  -55.577    0.144  179.600  -49.088    0.144  179.600  -55.577  -49.088  -68.800  -69.627     22.1169     20.1136
2020/11/19_21:00:34.592217922  9864.3   88.39  295.88  -55.574    0.143  179.715  -49.078    0.143  179.715  -55.574  -49.078  -68.672  -69.491     22.2513     20.4415
2020/11/19_21:00:35.605978012  9864.3   88.39  295.89  -55.576    0.143  179.924  -49.087    0.143  179.924  -55.576  -49.087  -68.743  -69.772      22.419     20.7553
2020/11/19_21:00:36.619738102  9864.3   88.39  295.88  -55.579    0.143  179.300  -49.083    0.143  179.300  -55.579  -49.083  -68.709  -69.662     22.3304     20.7778
2020/11/19_21:00:37.633497953  9864.3   88.39  295.89  -55.574    0.144  179.657  -49.087    0.144  179.657  -55.574  -49.087  -68.680  -69.638     22.1331     20.4915
2020/11/19_21:00:38.647258043  9864.3   88.39  295.89  -55.579    0.143  179.855  -49.086    0.143  179.855  -55.579  -49.086  -68.757  -69.446     22.1023     20.2463
2020/11/19_21:00:39.661017895  9864.3   88.39  295.88  -55.573    0.142  179.546  -49.083    0.142  179.546  -55.573  -49.083  -68.643  -69.821      21.961     20.2294
2020/11/19_21:00:40.674777985  9864.3   88.39  295.89  -55.582    0.142  179.553  -49.081    0.142  179.553  -55.582  -49.081  -68.695  -69.731     21.7754      20.198
2020/11/19_21:00:41.688538074  9864.3   88.39  295.89  -55.584    0.143  179.810  -49.082    0.143  179.810  -55.584  -49.082  -68.742  -69.490     21.6413     20.1938
2020/11/19_21:00:42.702297926  9864.3   88.39  295.89  -55.579    0.143  179.593  -49.080    0.143  179.593  -55.579  -49.080  -68.689  -69.541     21.7551     20.4775
2020/11/19_21:00:43.716058016  9864.3   88.39  295.87  -55.580    0.143  179.346  -49.084    0.143  179.346  -55.580  -49.084  -68.741  -69.806     22.0857     20.9388
2020/11/19_21:00:44.729818106  9864.3   88.39  295.88  -55.577    0.143  179.808  -49.080    0.143  179.808  -55.577  -49.080  -68.697  -69.709      22.317     21.0963
2020/11/19_21:00:45.743577957  9864.3   88.39  295.88  -55.571    0.144  179.328  -49.086    0.144  179.328  -55.571  -49.086  -68.653  -69.551     22.4166      21.078
2020/11/19_21:00:46.757338047  9864.3   88.39  295.89  -55.579    0.144  179.652  -49.087    0.144  179.652  -55.579  -49.087  -68.789  -69.468     22.3637     20.8483
2020/11/19_21:00:47.771097898  9864.3   88.39  295.90  -55.581    0.144  179.516  -49.084    0.144  179.516  -55.581  -49.084  -68.748  -69.565      22.447     20.7112
2020/11/19_21:00:48.784857988  9864.3   88.39  295.91  -55.585    0.144  179.713  -49.084    0.144  179.713  -55.585  -49.084  -68.709  -69.530     22.6514     20.8588
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:00:49.798618078  9864.3   88.39  295.92  -55.587    0.144 -179.959  -49.084    0.144 -179.959  -55.587  -49.084  -68.726  -69.461     22.7309     20.9143
2020/11/19_21:00:50.812377930  9864.3   88.39  295.93  -55.589    0.143  179.470  -49.082    0.143  179.470  -55.589  -49.082  -68.740  -69.534     22.8627     20.7914
2020/11/19_21:00:51.826138020  9864.3   88.39  295.89  -55.582    0.142  179.743  -49.083    0.142  179.743  -55.582  -49.083  -68.712  -69.537     22.8371     20.4874
2020/11/19_21:00:52.839898109  9864.3   88.39  295.89  -55.589    0.144  179.589  -49.083    0.144  179.589  -55.589  -49.083  -68.635  -70.001     22.7371     20.4663
